,min,max,mean
mood,1.0,5.0,3.3716012084592144
stress,1.0,5.0,3.2020614892482673
readiness,1.0,10.0,6.800248800426515
sleep_duration,1.0,12.0,8.142245720040282
sleep_quality,1.0,5.0,3.2633730229251823
soreness,1.0,5.0,2.799241751081097
daily_load,0.0,3420.0,367.3446478289201
weekly_load,0.0,6760.0,2427.8579468040994
acwr,0.0,4.00186741363212,1.1547079229523862
atl,0.0,965.71,346.68927791458975
ctl28,0.0,713.57,329.04350528298875
ctl42,0.0,664.05,321.5691374721669
monotony,0.0,8.13,1.2977120196908527
strain,0.0,30601.6,3517.012722140176
